sleeve,sym,dir,usd,t0,t1,mins,day,null,alpha
ES:vwapbreak,ES,1,-4274.0740740741785,2026-07-31 10:41:00-04:00,2026-08-06 08:23:00.553000-04:00,8502.009216666667,2026-08-06,,
ES:vwapbreak,ES,-1,-9768.28703703709,2026-08-06 08:23:00.553000-04:00,2026-08-06 10:11:00-04:00,107.99078333333334,2026-08-06,295.84375,-10064.13078703709
ES:vwapbreak,ES,-1,193.75,2026-08-06 10:27:00-04:00,2026-08-06 14:17:00-04:00,230.0,2026-08-06,638.90625,-445.15625
ES:vwapbreak,ES,-1,-1018.75,2026-08-06 10:27:00-04:00,2026-08-07 10:24:00-04:00,1437.0,2026-08-07,,
ES:vwapbreak,ES,-1,-1062.5,2026-08-07 12:31:00-04:00,2026-08-10 11:00:14.193000-04:00,4229.23655,2026-08-10,,
ES:vwapbreak,ES,-1,-2962.5,2026-08-10 12:32:00-04:00,2026-08-14 10:15:00.021000-04:00,5623.00035,2026-08-14,,
ES:vwapbreak_2p,ES,1,-662.5,2026-07-30 10:00:00-04:00,2026-07-30 10:48:00-04:00,48.0,2026-07-30,309.5,-972.0
ES:vwapbreak_2p,ES,1,1287.5,2026-07-30 12:17:00-04:00,2026-07-31 10:01:00-04:00,1304.0,2026-07-31,,
ES:vwapbreak_2p,ES,1,2175.0,2026-07-31 10:41:00-04:00,2026-07-31 15:59:00-04:00,318.0,2026-07-31,2848.875,-673.875
ES:vwapbreak_2p,ES,1,4475.0,2026-07-31 10:41:00-04:00,2026-08-03 14:28:00-04:00,4547.0,2026-08-03,,
ES:vwapbreak_2p,ES,1,2131.25,2026-07-31 10:41:00-04:00,2026-08-03 15:59:00-04:00,4638.0,2026-08-03,,
ES:vwapbreak_2p,ES,1,0.0,2026-07-31 10:41:00-04:00,2026-08-06 08:23:00.553000-04:00,8502.009216666667,2026-08-06,,
ES:vwapbreak_2p,ES,1,-475.0,2026-08-06 10:11:00-04:00,2026-08-06 10:27:00-04:00,16.0,2026-08-06,-38.71875,-436.28125
ES:vwapbreak_2p,ES,-1,-112.5,2026-08-06 11:19:00-04:00,2026-08-06 14:17:00-04:00,178.0,2026-08-06,513.21875,-625.71875
ES:vwapbreak_2p,ES,1,-512.5,2026-08-07 10:24:00-04:00,2026-08-07 12:31:00-04:00,127.0,2026-08-07,-0.53125,-511.96875
ES:vwapbreak_2p24,ES,1,-662.5,2026-07-30 10:00:00-04:00,2026-07-30 10:48:00-04:00,48.0,2026-07-30,312.03125,-974.53125
ES:vwapbreak_2p24,ES,1,1287.5,2026-07-30 12:17:00-04:00,2026-07-31 10:01:00-04:00,1304.0,2026-07-31,,
ES:vwapbreak_2p24,ES,1,2175.0,2026-07-31 10:41:00-04:00,2026-07-31 15:59:00-04:00,318.0,2026-07-31,2758.96875,-583.96875
ES:vwapbreak_2p24,ES,1,3562.5,2026-07-31 10:41:00-04:00,2026-08-03 12:11:00-04:00,4410.0,2026-08-03,,
ES:vwapbreak_2p24,ES,1,2668.75,2026-07-31 10:41:00-04:00,2026-08-03 15:59:00-04:00,4638.0,2026-08-03,,
ES:vwapbreak_2p24,ES,1,0.0,2026-07-31 10:41:00-04:00,2026-08-05 12:23:00.074000-04:00,7302.001233333333,2026-08-05,,
ES:vwapbreak_2p24,ES,1,-475.0,2026-08-06 10:11:00-04:00,2026-08-06 10:27:00-04:00,16.0,2026-08-06,-39.59375,-435.40625
ES:vwapbreak_2p24,ES,-1,-112.5,2026-08-06 11:19:00-04:00,2026-08-06 14:17:00-04:00,178.0,2026-08-06,397.65625,-510.15625
ES:vwapbreak_2p24,ES,1,-512.5,2026-08-07 10:24:00-04:00,2026-08-07 12:31:00-04:00,127.0,2026-08-07,4.65625,-517.15625
ES:vwapbreak_2p24,ES,1,-200.0,2026-08-10 10:02:00-04:00,2026-08-10 11:01:00-04:00,59.0,2026-08-10,-24.6875,-175.3125
ES:vwapbreak_2p24,ES,-1,-662.5,2026-08-10 12:32:00-04:00,2026-08-10 15:04:00-04:00,152.0,2026-08-10,239.09375000000003,-901.59375
ES:vwapbreak_2p24,ES,-1,1337.5,2026-08-11 11:14:00-04:00,2026-08-11 15:01:00-04:00,227.0,2026-08-11,1249.40625,88.09375
ES:vwapbreak_2p24,ES,-1,-512.5,2026-08-12 11:40:00-04:00,2026-08-12 12:40:00-04:00,60.0,2026-08-12,-5.09375,-507.40625
ES:vwapbreak_2p24,ES,1,-1125.0,2026-08-13 10:01:00-04:00,2026-08-13 11:35:00-04:00,94.0,2026-08-13,-29.40625,-1095.59375
ES:vwapbreak_2p24,ES,1,-137.5,2026-08-14 10:05:00-04:00,2026-08-14 10:15:00-04:00,10.0,2026-08-14,-12.90625,-124.59375
ES:vwapbreak_2p24,ES,-1,800.0,2026-08-14 10:22:00-04:00,2026-08-14 15:59:00-04:00,337.0,2026-08-14,1071.78125,-271.78125
ES:vwapbreak_2p32,ES,1,-662.5,2026-07-30 10:00:00-04:00,2026-07-30 10:48:00-04:00,48.0,2026-07-30,248.46875000000003,-910.96875
ES:vwapbreak_2p32,ES,1,1287.5,2026-07-30 12:17:00-04:00,2026-07-31 10:01:00-04:00,1304.0,2026-07-31,,
